0,19,31,25,34,24,40,13,50,42,9,38,42,50,29,5,20,19
50,0,9,26,19,21,26,7,4,21,10,45,22,42,6,4,18,33
47,37,0,25,35,40,30,42,13,30,27,46,3,30,41,18,9,43
6,35,17,0,39,11,50,33,46,40,28,43,18,19,18,6,13,30
44,13,43,11,0,5,22,36,18,3,20,2,39,9,9,16,50,46
49,32,11,34,28,0,45,5,48,22,6,41,28,45,31,47,6,8
1,1,10,42,38,36,0,23,38,28,32,22,32,28,49,25,46,23
6,16,16,14,9,13,26,0,42,24,33,35,12,10,43,48,35,47
48,2,5,25,10,7,20,37,0,13,48,6,8,20,15,4,41,29
3,44,16,25,33,3,13,32,44,0,18,27,18,31,48,48,13,33
48,41,13,40,41,35,13,39,1,17,0,14,43,5,39,30,4,2
18,22,42,42,25,10,44,15,47,22,44,0,26,13,29,13,28,46
50,32,9,42,2,9,50,10,11,10,26,6,0,50,20,29,2,33
11,9,12,9,34,18,8,8,22,7,27,27,36,0,40,46,21,1
19,30,36,48,40,7,3,11,18,7,34,6,31,32,0,33,9,50
8,15,1,37,20,47,42,45,1,14,42,7,29,40,3,0,13,27
33,50,34,30,14,41,8,24,28,24,32,13,40,17,13,30,0,50
11,23,18,7,41,39,29,6,31,21,18,4,16,41,46,10,10,0
