0,40,31,48,17,42,34,42,50,29,21,14,4,24
26,0,25,21,3,38,6,21,45,16,15,18,48,29
31,33,0,39,46,9,44,47,23,40,42,2,49,40
15,20,39,0,14,13,8,50,3,9,14,23,18,42
20,42,26,40,0,4,18,2,30,10,12,22,2,43
1,17,40,16,1,0,3,23,46,2,43,21,27,18
38,8,13,43,4,9,0,44,36,17,40,10,32,13
36,9,31,33,29,7,4,0,11,11,14,5,24,3
48,40,21,36,25,18,18,26,0,46,37,43,3,29
29,22,44,24,43,17,34,21,30,0,42,3,6,45
8,32,41,47,13,17,35,33,45,27,0,8,34,50
19,41,50,7,3,34,2,35,27,31,33,0,9,28
28,32,44,5,49,43,6,46,19,41,9,16,0,6
9,4,3,36,41,46,30,14,24,39,26,18,17,0
