0,41,31,47,20,22,2,25,49,7,9,3,14,8,8
7,0,39,6,46,7,46,21,24,42,44,41,6,4,2
33,19,0,44,43,6,31,10,36,38,4,35,35,31,50
6,37,10,0,37,44,2,14,12,43,36,10,9,15,15
13,35,34,2,0,20,3,16,16,47,1,4,13,13,39
14,24,43,46,16,0,28,20,8,29,10,48,13,16,10
43,21,49,36,49,12,0,23,33,33,9,48,45,15,46
3,13,2,30,19,34,4,0,24,33,2,46,11,3,3
35,8,32,8,2,49,5,33,0,45,49,37,1,4,9
2,7,35,38,41,31,38,22,42,0,4,39,45,31,6
19,35,23,1,21,20,16,16,8,14,0,9,15,18,37
24,26,36,42,33,48,37,37,45,41,38,0,9,40,28
18,23,16,2,34,36,3,21,49,24,33,1,0,18,33
41,43,21,27,42,18,6,41,5,44,1,13,6,0,1
30,2,35,18,3,9,18,33,32,10,42,33,49,20,0
