0,38,38,34,43,25,44,41,17,31,2,14,24,32
24,0,41,23,38,49,25,39,28,22,38,27,30,50
20,10,0,4,32,34,21,22,16,27,25,18,42,29
2,7,49,0,42,4,13,35,9,25,8,11,48,37
33,2,23,25,0,44,5,29,34,3,38,11,42,34
34,32,20,41,50,0,14,13,46,1,29,29,10,6
5,19,28,33,49,32,0,29,7,6,29,6,11,10
4,19,26,36,36,28,33,0,36,1,22,21,32,48
7,13,2,36,25,30,15,21,0,31,27,46,2,39
29,25,22,31,5,30,13,24,14,0,4,11,39,45
14,21,23,29,29,12,33,32,42,24,0,26,15,38
40,7,50,11,32,17,38,13,7,13,1,0,34,47
30,8,38,3,21,7,1,36,1,17,47,31,0,37
49,17,33,3,34,39,13,46,10,39,31,48,6,0
