0,6,44,17,45,50,29,5,17,3,30,44,8,31,32,26,14,42,38
24,0,49,50,11,10,22,29,33,23,11,40,20,22,36,6,44,14,4
35,25,0,14,5,49,30,48,33,24,22,48,8,31,14,3,49,17,49
32,46,27,0,24,43,12,8,10,39,48,47,31,34,10,20,48,2,19
35,22,30,36,0,43,17,31,19,1,14,2,27,43,20,33,7,17,32
4,11,22,6,46,0,20,38,25,18,22,38,27,17,45,15,22,34,33
6,23,46,36,2,28,0,29,24,17,19,11,34,42,12,23,23,4,23
14,13,6,16,30,30,3,0,23,15,50,3,42,32,10,2,31,47,13
30,47,8,34,37,45,35,5,0,33,33,43,12,45,31,39,46,38,44
12,16,31,29,37,44,30,43,43,0,28,32,32,40,33,9,43,17,11
28,41,19,17,50,23,13,9,45,32,0,48,29,11,14,21,23,39,11
5,17,36,34,8,37,13,49,6,31,37,0,36,49,18,13,45,42,2
9,18,38,40,46,8,11,40,31,10,44,33,0,42,43,29,28,22,13
48,14,37,19,36,39,31,27,44,15,7,32,37,0,46,45,36,36,46
41,35,16,31,37,8,32,49,41,7,43,9,32,39,0,23,15,16,1
24,20,10,46,36,36,8,15,24,12,7,35,44,13,18,0,43,29,23
1,37,28,3,36,40,9,46,17,32,26,1,43,10,45,45,0,50,4
42,30,25,46,31,14,26,29,9,42,37,40,28,29,38,3,6,0,31
13,49,22,7,50,28,42,6,48,9,41,33,15,9,1,49,3,45,0
