0,10,14,46,30,3,37,47,21,19,27,46,24,2
46,0,28,23,39,41,3,5,4,47,24,45,4,37
20,6,0,21,37,38,15,22,21,1,46,6,40,41
14,29,32,0,30,15,32,34,11,10,30,21,17,8
29,41,27,30,0,25,39,12,20,50,16,36,40,46
23,21,1,42,46,0,43,17,48,40,49,24,39,47
10,9,3,7,44,5,0,17,18,25,32,24,5,7
46,45,49,12,20,45,13,0,46,20,50,10,29,40
42,20,8,17,28,15,1,45,0,45,44,22,28,29
11,35,20,19,7,39,15,23,40,0,37,46,10,12
32,31,42,1,32,14,21,48,21,46,0,45,29,22
14,18,5,20,22,30,34,41,49,5,1,0,14,27
19,3,11,30,2,30,25,9,38,32,7,42,0,11
42,43,4,29,2,47,42,7,12,47,11,45,41,0
