0,39,39,6,20,33,7,31,12,27,49,3,45,46,16,33,2,12,17
39,0,43,46,47,7,44,5,27,26,47,10,18,36,34,30,48,32,43
39,43,0,33,11,1,27,24,25,48,31,5,47,22,9,12,21,39,19
6,46,33,0,21,23,30,4,12,13,2,7,47,3,35,36,22,5,11
20,47,11,21,0,13,21,30,39,17,3,48,16,4,50,48,32,31,14
33,7,1,23,13,0,22,5,30,18,5,48,28,39,16,19,10,40,45
7,44,27,30,21,22,0,22,47,46,22,40,20,49,30,37,29,36,44
31,5,24,4,30,5,22,0,32,37,18,40,46,19,4,7,38,1,47
12,27,25,12,39,30,47,32,0,36,11,20,50,12,38,4,23,3,24
27,26,48,13,17,18,46,37,36,0,43,44,28,37,16,11,33,45,42
49,47,31,2,3,5,22,18,11,43,0,48,44,23,10,3,35,46,43
3,10,5,7,48,48,40,40,20,44,48,0,18,7,36,24,20,50,13
45,18,47,47,16,28,20,46,50,28,44,18,0,28,20,8,35,46,27
46,36,22,3,4,39,49,19,12,37,23,7,28,0,3,43,21,45,17
16,34,9,35,50,16,30,4,38,16,10,36,20,3,0,29,1,46,50
33,30,12,36,48,19,37,7,4,11,3,24,8,43,29,0,35,1,46
2,48,21,22,32,10,29,38,23,33,35,20,35,21,1,35,0,13,27
12,32,39,5,31,40,36,1,3,45,46,50,46,45,46,1,13,0,46
17,43,19,11,14,45,44,47,24,42,43,13,27,17,50,46,27,46,0
