0,23,28,6,41,13,45,34,48,6,29,26,23,10,6,43,10
39,0,24,15,8,2,13,12,14,40,30,12,44,11,10,43,13
21,4,0,2,28,28,20,13,19,23,19,32,7,9,17,28,4
23,49,26,0,35,7,33,42,49,24,16,25,21,32,1,48,14
20,14,4,13,0,14,34,37,22,22,10,1,40,35,34,43,13
29,46,50,27,33,0,50,46,38,26,8,1,49,23,28,2,40
37,11,15,43,19,45,0,13,19,47,38,42,37,2,4,43,3
20,30,2,23,29,1,3,0,13,1,23,10,26,4,7,8,2
4,25,45,13,31,11,19,34,0,8,5,12,47,44,12,12,39
37,7,13,23,4,32,48,31,30,0,23,22,32,16,25,41,38
48,36,43,22,12,37,31,39,47,33,0,32,15,38,3,23,40
27,2,40,31,22,23,2,17,50,10,19,0,50,24,25,42,23
50,38,31,48,44,48,9,22,3,46,40,8,0,29,3,14,3
42,41,5,41,16,25,7,3,37,15,34,41,2,0,15,39,18
40,39,2,20,38,38,39,47,38,6,6,39,9,19,0,10,22
15,48,41,43,8,17,19,12,42,15,35,46,29,16,23,0,17
19,49,2,30,8,24,10,10,23,15,47,13,49,22,15,1,0
