0,24,44,39,8,41,12,11,37,14,48,32,7,2,28,44,11,8
47,0,26,28,9,45,2,5,14,19,20,42,25,38,11,25,17,33
16,28,0,30,27,11,18,50,50,2,46,16,44,22,30,4,30,32
12,46,21,0,9,46,10,31,8,15,32,5,8,25,21,15,6,13
18,35,46,15,0,30,32,18,1,4,41,4,43,50,28,42,4,16
40,49,12,39,46,0,11,28,8,19,42,38,35,47,21,14,32,25
4,20,48,24,48,13,0,10,32,35,26,42,45,34,7,46,35,1
9,47,35,50,44,21,45,0,24,40,49,10,3,50,19,29,35,3
38,27,34,11,20,10,20,20,0,7,46,14,17,30,26,7,32,32
24,39,2,4,3,40,50,29,28,0,9,12,24,38,49,50,24,45
7,12,44,44,27,37,35,5,13,42,0,12,29,44,45,36,13,48
15,39,47,6,20,5,36,2,4,38,33,0,15,3,48,28,22,37
25,2,17,4,39,40,34,5,44,21,39,44,0,30,39,31,39,4
24,40,47,31,21,25,17,19,6,15,48,19,36,0,46,38,17,41
38,7,26,12,39,2,47,4,7,45,1,40,35,7,0,44,46,27
8,22,28,40,1,10,19,44,17,38,47,44,35,36,11,0,22,16
48,49,32,8,31,16,32,49,47,17,48,48,22,13,48,44,0,4
12,18,2,34,14,31,33,43,21,12,17,17,45,19,41,2,42,0
