0,1,50,3,45,47,6,19,8,47,1,25,26,41
15,0,13,30,8,26,15,47,9,24,16,8,30,45
16,18,0,44,27,6,20,14,2,20,36,24,8,9
41,38,3,0,24,12,45,32,16,38,50,16,40,34
8,2,5,1,0,14,17,37,36,6,16,20,26,7
7,32,18,38,13,0,15,26,16,3,19,50,30,11
16,29,39,28,15,7,0,47,2,14,5,34,12,23
49,22,26,37,47,30,5,0,14,32,35,16,38,27
27,48,39,44,46,2,19,35,0,2,47,48,1,16
23,45,13,3,50,23,33,49,10,0,9,42,9,47
1,43,16,37,2,43,2,41,1,6,0,34,34,28
8,4,25,37,32,26,23,7,12,43,26,0,34,24
6,9,43,44,5,3,20,39,45,30,2,43,0,32
6,29,8,27,12,24,19,11,23,20,38,23,5,0
