0,5,20,12,49,7,46,14,48,15,13,40,37,42,31,42,2,17,6
11,0,14,10,24,1,29,43,27,7,31,4,8,28,42,15,36,5,2
13,37,0,45,18,27,5,22,7,5,20,12,9,3,3,2,43,13,20
43,20,18,0,37,9,6,44,15,24,10,25,36,40,32,45,8,33,48
47,44,41,12,0,49,36,29,6,46,14,45,31,46,12,2,20,21,29
19,24,16,19,7,0,19,24,14,25,46,15,14,18,4,49,19,44,38
4,14,27,45,18,17,0,3,38,44,10,48,7,17,27,25,17,41,25
23,27,2,7,25,47,30,0,46,44,41,44,27,44,7,11,35,14,10
34,43,15,32,6,11,7,35,0,49,5,47,39,28,17,43,33,28,49
20,40,32,32,33,50,17,27,50,0,21,27,29,31,22,32,40,31,3
16,31,38,7,48,25,44,7,33,28,0,21,17,49,14,27,45,49,21
29,47,26,19,3,33,49,29,33,23,41,0,10,43,37,30,6,38,34
38,12,39,3,23,5,35,2,38,9,9,21,0,9,8,15,50,25,7
7,4,3,4,14,44,47,7,44,7,38,32,8,0,3,31,24,37,28
22,33,2,28,7,47,15,14,38,50,50,15,48,43,0,49,29,34,3
46,37,11,16,1,37,30,32,30,6,42,12,43,23,4,0,6,24,41
37,46,42,16,46,12,16,7,46,48,38,36,45,6,14,30,0,39,9
23,38,31,35,40,20,37,48,2,30,45,20,40,38,50,29,7,0,20
9,40,44,37,41,10,6,25,31,22,49,4,10,22,43,47,30,9,0
