0,37,14,21,18,2,9,41,15,17,46,36,8,4,17,7
49,0,6,6,33,8,30,44,48,10,25,7,41,41,43,49
28,14,0,22,33,28,24,3,9,8,49,26,9,1,37,35
28,4,11,0,33,46,33,19,3,36,33,39,31,48,1,18
41,9,11,8,0,18,16,4,17,25,28,6,33,35,23,49
33,42,3,6,46,0,43,38,48,13,41,7,5,19,11,30
49,41,50,31,46,27,0,7,45,50,40,39,2,14,27,38
38,37,31,28,4,11,8,0,18,15,32,41,39,10,48,25
35,7,16,40,26,20,16,28,0,49,3,46,11,27,45,43
37,21,11,16,41,35,8,11,33,0,15,13,22,46,11,49
1,46,24,14,32,6,49,32,5,49,0,4,23,2,1,2
36,11,49,10,43,43,35,44,49,47,46,0,37,17,29,30
36,30,46,39,40,38,31,43,2,26,33,40,0,6,4,29
38,33,41,3,9,8,34,46,18,19,13,37,5,0,23,48
39,50,10,35,31,10,25,22,32,11,50,2,15,49,0,23
14,32,7,23,43,20,22,47,25,16,8,46,19,16,23,0
