0,44,16,31,35,50,42,8,19,9,28,47,41,2
23,0,33,36,3,27,41,40,14,22,27,32,16,43
14,42,0,49,36,4,2,48,16,20,4,5,8,23
25,34,25,0,48,28,11,33,4,24,22,27,47,24
47,19,33,34,0,15,45,39,15,10,5,10,23,18
21,14,22,33,18,0,32,10,23,21,5,24,32,34
49,48,10,26,10,18,0,38,49,31,5,11,2,8
39,15,32,46,24,22,43,0,6,26,4,30,20,35
37,12,30,8,6,40,35,2,0,22,46,5,36,3
44,31,24,3,43,48,44,6,39,0,37,24,16,23
26,12,22,9,41,27,10,42,10,13,0,6,3,43
18,2,24,15,36,29,15,12,6,15,34,0,27,12
50,1,14,20,22,18,17,35,30,22,37,9,0,49
3,42,26,27,43,21,9,34,12,44,25,47,37,0
