0,36,5,2,23,21,17,38,43,23,24,13,24,4,29
26,0,43,47,43,47,13,3,21,13,23,4,2,44,48
34,21,0,19,36,15,11,45,42,44,36,32,25,48,2
44,18,36,0,23,13,4,44,1,21,5,7,8,4,15
11,34,43,20,0,18,34,33,30,45,36,29,3,14,44
9,42,7,23,26,0,36,32,37,27,29,18,21,16,39
17,5,19,7,9,27,0,40,13,26,34,29,15,13,39
9,5,48,42,34,9,44,0,27,40,30,29,22,50,6
38,40,41,50,15,10,43,19,0,17,6,48,38,17,9
7,8,8,17,29,11,12,29,27,0,48,12,32,28,8
18,19,40,31,15,28,21,45,23,4,0,38,48,42,14
27,2,42,31,15,3,4,8,7,43,8,0,13,4,23
47,18,36,7,25,13,26,40,44,38,45,45,0,23,24
49,1,22,44,33,18,2,20,38,32,42,32,13,0,27
32,16,26,33,36,22,15,33,5,2,7,17,44,32,0
