0,4,49,3,37,7,18,17,5,15,3,29,45,49,44,27
4,0,41,3,32,50,6,27,26,39,47,22,1,13,48,29
49,41,0,19,8,6,33,16,13,28,40,44,45,6,47,46
3,3,19,0,26,4,24,4,28,25,31,3,37,5,25,6
37,32,8,26,0,40,14,46,7,7,46,43,30,47,41,15
7,50,6,4,40,0,33,15,43,29,4,28,3,12,40,19
18,6,33,24,14,33,0,8,20,39,36,20,45,35,41,6
17,27,16,4,46,15,8,0,43,17,4,30,25,15,3,3
5,26,13,28,7,43,20,43,0,2,3,21,6,29,50,28
15,39,28,25,7,29,39,17,2,0,31,23,4,19,29,13
3,47,40,31,46,4,36,4,3,31,0,9,44,34,31,49
29,22,44,3,43,28,20,30,21,23,9,0,10,33,50,38
45,1,45,37,30,3,45,25,6,4,44,10,0,46,49,18
49,13,6,5,47,12,35,15,29,19,34,33,46,0,1,42
44,48,47,25,41,40,41,3,50,29,31,50,49,1,0,16
27,29,46,6,15,19,6,3,28,13,49,38,18,42,16,0
