0,22,10,13,2,28,24,13,32,50,49,11,46,24
22,0,18,49,9,22,42,26,3,27,44,17,20,26
10,18,0,7,25,25,38,24,1,37,43,38,42,1
13,49,7,0,47,10,9,49,13,17,38,40,2,8
2,9,25,47,0,29,5,38,25,13,11,24,5,40
28,22,25,10,29,0,37,45,15,2,3,47,19,6
24,42,38,9,5,37,0,24,4,49,30,20,44,18
13,26,24,49,38,45,24,0,1,18,24,25,26,32
32,3,1,13,25,15,4,1,0,45,48,36,40,1
50,27,37,17,13,2,49,18,45,0,20,46,2,33
49,44,43,38,11,3,30,24,48,20,0,28,50,38
11,17,38,40,24,47,20,25,36,46,28,0,16,16
46,20,42,2,5,19,44,26,40,2,50,16,0,34
24,26,1,8,40,6,18,32,1,33,38,16,34,0
