0,27,46,27,7,46,16,11,15,44,42,6,10,5,42,40,29,1
27,0,10,6,41,40,33,8,32,19,15,13,8,15,43,46,37,45
46,10,0,11,37,43,21,10,26,36,4,16,29,35,32,33,18,18
27,6,11,0,13,14,15,12,17,38,35,33,13,41,7,24,30,43
7,41,37,13,0,5,48,12,44,13,4,27,11,45,10,40,26,11
46,40,43,14,5,0,31,49,49,7,36,10,43,7,27,22,33,32
16,33,21,15,48,31,0,36,21,5,26,11,39,28,27,35,32,7
11,8,10,12,12,49,36,0,22,13,17,20,11,7,14,25,16,4
15,32,26,17,44,49,21,22,0,40,3,6,36,36,6,15,8,46
44,19,36,38,13,7,5,13,40,0,29,35,13,24,13,32,8,40
42,15,4,35,4,36,26,17,3,29,0,49,18,3,46,31,44,16
6,13,16,33,27,10,11,20,6,35,49,0,30,1,9,22,24,12
10,8,29,13,11,43,39,11,36,13,18,30,0,16,14,8,47,36
5,15,35,41,45,7,28,7,36,24,3,1,16,0,30,12,16,43
42,43,32,7,10,27,27,14,6,13,46,9,14,30,0,36,32,3
40,46,33,24,40,22,35,25,15,32,31,22,8,12,36,0,39,2
29,37,18,30,26,33,32,16,8,8,44,24,47,16,32,39,0,33
1,45,18,43,11,32,7,4,46,40,16,12,36,43,3,2,33,0
