0,45,24,15,35,17,12,5,17,18,16,27,2,7,38,17,24,14
8,0,32,2,5,14,15,48,16,28,15,32,50,49,15,17,35,35
2,18,0,42,26,39,38,7,20,2,26,5,35,8,42,18,34,31
23,1,28,0,17,10,1,48,50,44,47,8,30,12,9,50,43,9
3,26,49,49,0,36,2,12,5,38,18,2,48,16,20,32,14,11
31,11,32,38,50,0,14,48,31,28,22,6,6,12,31,6,19,34
5,29,41,48,13,42,0,20,47,42,50,45,19,35,32,47,38,34
34,23,26,32,33,13,12,0,22,15,12,36,32,43,47,38,34,39
25,36,47,14,43,18,9,49,0,34,46,20,29,38,4,8,44,42
46,14,13,38,5,46,34,16,33,0,35,24,44,43,25,28,49,16
1,6,3,47,10,8,28,40,44,49,0,49,33,30,6,39,39,48
19,30,46,2,15,25,11,44,22,32,22,0,14,19,22,3,26,28
32,24,45,45,6,43,39,33,32,24,2,32,0,32,23,38,46,43
48,50,32,1,5,29,12,41,9,12,17,19,30,0,39,9,45,11
47,2,37,8,42,17,50,33,41,45,11,48,44,5,0,48,19,7
21,15,44,43,11,33,39,33,11,28,24,48,27,12,40,0,37,41
6,30,22,29,18,50,25,36,4,29,26,29,41,50,43,19,0,7
18,13,5,25,39,21,1,45,31,8,27,7,38,42,31,13,35,0
