0,30,14,43,19,42,39,31,1,20,50,27,19,7,37
30,0,46,21,21,48,9,10,38,11,37,17,46,21,45
14,46,0,2,24,35,46,47,23,14,44,46,50,44,21
43,21,2,0,9,24,36,30,35,33,16,39,16,17,43
19,21,24,9,0,17,21,22,3,41,6,41,46,40,50
42,48,35,24,17,0,31,50,15,50,47,6,1,34,22
39,9,46,36,21,31,0,19,45,13,4,43,32,35,49
31,10,47,30,22,50,19,0,48,5,2,27,28,5,25
1,38,23,35,3,15,45,48,0,12,16,50,26,8,39
20,11,14,33,41,50,13,5,12,0,47,29,13,31,26
50,37,44,16,6,47,4,2,16,47,0,9,26,9,21
27,17,46,39,41,6,43,27,50,29,9,0,11,30,15
19,46,50,16,46,1,32,28,26,13,26,11,0,50,37
7,21,44,17,40,34,35,5,8,31,9,30,50,0,16
37,45,21,43,50,22,49,25,39,26,21,15,37,16,0
