0,6,45,30,50,12,34,38,6,18,43,42,6,31,44,15
47,0,4,2,34,26,43,39,2,1,44,38,19,22,1,41
40,37,0,7,5,14,45,40,32,20,15,1,43,30,19,46
45,29,44,0,2,12,3,21,24,26,14,8,13,37,8,1
31,8,13,5,0,24,4,5,41,12,27,25,4,7,31,49
43,22,46,16,43,0,17,48,8,2,40,27,12,33,9,49
25,25,35,31,50,1,0,27,6,24,22,21,28,43,43,16
19,5,15,45,11,27,41,0,18,22,17,33,4,47,1,14
37,38,19,12,16,36,36,40,0,47,19,8,34,40,16,17
19,1,1,5,17,1,4,12,27,0,2,45,11,42,26,26
1,21,19,3,45,1,44,34,5,21,0,11,27,28,39,49
7,3,20,28,11,4,42,24,8,5,5,0,31,19,46,26
14,25,9,50,6,41,4,36,30,47,28,19,0,38,20,36
15,17,35,15,3,39,5,35,28,46,50,1,12,0,14,30
17,43,20,48,22,20,45,10,11,38,5,1,48,1,0,13
23,27,41,29,50,12,30,40,48,17,34,13,2,38,19,0
