0,24,31,26,15,35,25,41,4,36,47,8,32,31,33,46,23,7,29
24,0,10,15,10,15,4,10,36,2,19,23,11,25,6,18,13,47,35
31,10,0,26,41,48,46,24,19,16,20,44,46,43,26,7,41,30,5
26,15,26,0,6,47,5,49,5,37,36,20,24,5,2,35,22,23,1
15,10,41,6,0,25,24,4,12,29,39,39,18,24,34,27,29,43,42
35,15,48,47,25,0,28,32,23,20,11,39,5,21,13,50,11,34,12
25,4,46,5,24,28,0,11,16,32,40,4,19,6,49,34,3,3,44
41,10,24,49,4,32,11,0,46,21,38,2,38,23,32,44,47,43,41
4,36,19,5,12,23,16,46,0,8,18,36,6,37,41,33,1,34,27
36,2,16,37,29,20,32,21,8,0,49,15,31,12,48,40,18,1,11
47,19,20,36,39,11,40,38,18,49,0,48,13,13,10,19,48,11,2
8,23,44,20,39,39,4,2,36,15,48,0,37,9,25,8,30,32,24
32,11,46,24,18,5,19,38,6,31,13,37,0,14,3,24,38,3,13
31,25,43,5,24,21,6,23,37,12,13,9,14,0,48,44,9,32,4
33,6,26,2,34,13,49,32,41,48,10,25,3,48,0,35,7,24,9
46,18,7,35,27,50,34,44,33,40,19,8,24,44,35,0,50,33,8
23,13,41,22,29,11,3,47,1,18,48,30,38,9,7,50,0,20,25
7,47,30,23,43,34,3,43,34,1,11,32,3,32,24,33,20,0,36
29,35,5,1,42,12,44,41,27,11,2,24,13,4,9,8,25,36,0
