0,30,25,26,34,41,48,16,29,1,49,34,16,13,27
36,0,37,27,24,5,31,14,26,10,26,7,5,30,8
2,7,0,43,37,16,12,17,47,3,38,48,27,35,6
50,26,44,0,16,14,45,16,39,19,38,18,18,38,31
40,26,7,12,0,9,44,7,45,37,6,40,39,40,13
40,49,5,32,49,0,25,4,13,6,46,44,15,45,24
10,26,22,31,29,12,0,30,30,14,35,21,22,19,44
6,37,24,17,31,8,1,0,2,5,11,4,31,29,38
48,19,49,37,12,29,26,38,0,9,8,22,37,42,36
30,18,47,20,7,14,34,26,12,0,43,41,47,32,22
5,31,37,27,33,44,6,11,6,14,0,16,37,31,45
48,45,23,15,33,13,49,21,44,37,12,0,50,50,12
10,20,18,39,10,12,10,17,7,6,15,9,0,24,16
45,8,7,16,5,9,33,27,29,2,16,6,31,0,6
50,38,35,11,48,42,47,39,34,36,35,46,44,18,0
