0,49,11,42,26,1,26,36,35,5,5,2,44,38,28,1,25
49,0,4,11,3,28,9,4,45,27,2,39,34,50,17,8,16
11,4,0,42,3,15,36,25,3,43,2,8,46,3,27,2,31
42,11,42,0,47,39,28,42,11,28,23,26,24,41,11,9,8
26,3,3,47,0,40,24,21,18,2,34,22,14,7,31,36,12
1,28,15,39,40,0,49,3,18,38,50,32,45,36,8,48,25
26,9,36,28,24,49,0,3,48,46,30,1,22,8,37,5,7
36,4,25,42,21,3,3,0,41,11,15,8,25,44,6,3,38
35,45,3,11,18,18,48,41,0,48,25,28,24,11,9,42,20
5,27,43,28,2,38,46,11,48,0,33,34,31,28,31,43,9
5,2,2,23,34,50,30,15,25,33,0,14,19,10,50,7,1
2,39,8,26,22,32,1,8,28,34,14,0,44,15,22,22,26
44,34,46,24,14,45,22,25,24,31,19,44,0,4,20,21,30
38,50,3,41,7,36,8,44,11,28,10,15,4,0,30,13,11
28,17,27,11,31,8,37,6,9,31,50,22,20,30,0,7,42
1,8,2,9,36,48,5,3,42,43,7,22,21,13,7,0,34
25,16,31,8,12,25,7,38,20,9,1,26,30,11,42,34,0
