0,33,45,47,37,44,1,13,31,13,38,33,24,39
33,0,23,37,5,32,48,14,4,5,41,15,9,42
45,23,0,15,32,1,30,38,39,9,21,38,30,40
47,37,15,0,3,45,34,39,26,50,21,39,7,48
37,5,32,3,0,41,25,30,16,32,13,41,24,21
44,32,1,45,41,0,25,19,24,15,39,30,34,36
1,48,30,34,25,25,0,34,8,44,26,29,19,50
13,14,38,39,30,19,34,0,14,11,5,22,14,4
31,4,39,26,16,24,8,14,0,50,8,22,18,13
13,5,9,50,32,15,44,11,50,0,24,27,48,38
38,41,21,21,13,39,26,5,8,24,0,37,37,27
33,15,38,39,41,30,29,22,22,27,37,0,35,22
24,9,30,7,24,34,19,14,18,48,37,35,0,21
39,42,40,48,21,36,50,4,13,38,27,22,21,0
