0,36,33,21,35,22,4,19,22,38,26,38,10,28,8,35
36,0,45,5,24,32,31,24,48,12,43,41,14,22,19,43
33,45,0,25,40,16,18,40,30,13,7,2,50,18,36,15
21,5,25,0,39,42,22,21,9,50,49,9,20,41,38,32
35,24,40,39,0,10,10,3,43,19,4,25,47,45,10,23
22,32,16,42,10,0,50,2,31,10,44,22,45,15,1,25
4,31,18,22,10,50,0,38,3,17,49,26,45,20,4,13
19,24,40,21,3,2,38,0,29,40,24,43,39,20,24,1
22,48,30,9,43,31,3,29,0,14,4,36,41,27,34,40
38,12,13,50,19,10,17,40,14,0,36,31,40,49,5,1
26,43,7,49,4,44,49,24,4,36,0,30,2,37,33,24
38,41,2,9,25,22,26,43,36,31,30,0,30,10,1,35
10,14,50,20,47,45,45,39,41,40,2,30,0,33,34,15
28,22,18,41,45,15,20,20,27,49,37,10,33,0,20,47
8,19,36,38,10,1,4,24,34,5,33,1,34,20,0,11
35,43,15,32,23,25,13,1,40,1,24,35,15,47,11,0
