0,14,18,42,20,45,21,19,50,25,11,43,31,40,46,42
14,0,22,4,4,12,38,2,49,5,18,26,25,13,10,28
18,22,0,6,21,22,41,39,40,36,46,28,3,4,24,30
42,4,6,0,28,39,40,14,1,20,11,14,11,50,36,6
20,4,21,28,0,38,48,18,22,44,39,18,17,10,35,7
45,12,22,39,38,0,50,32,10,28,24,46,8,7,27,31
21,38,41,40,48,50,0,41,3,17,37,15,32,47,14,45
19,2,39,14,18,32,41,0,25,17,11,12,28,14,3,20
50,49,40,1,22,10,3,25,0,49,12,28,45,38,28,5
25,5,36,20,44,28,17,17,49,0,31,45,45,46,29,18
11,18,46,11,39,24,37,11,12,31,0,29,6,10,20,45
43,26,28,14,18,46,15,12,28,45,29,0,11,3,35,33
31,25,3,11,17,8,32,28,45,45,6,11,0,16,21,16
40,13,4,50,10,7,47,14,38,46,10,3,16,0,20,7
46,10,24,36,35,27,14,3,28,29,20,35,21,20,0,42
42,28,30,6,7,31,45,20,5,18,45,33,16,7,42,0
