0,26,15,2,10,32,49,23,12,18,44,43,48,39,31
42,0,10,36,11,47,34,6,27,7,40,36,43,28,25
31,18,0,10,19,24,40,42,7,26,27,43,49,26,45
29,8,26,0,7,39,46,5,13,47,50,12,44,29,18
29,26,5,50,0,3,3,27,40,47,46,19,8,1,10
26,15,45,31,35,0,47,39,48,19,24,41,33,6,47
23,9,47,9,13,18,0,47,28,34,33,26,31,35,19
32,18,49,5,6,13,24,0,31,46,18,46,26,42,11
49,47,15,30,3,6,4,20,0,49,25,6,8,46,7
41,35,10,19,37,42,1,40,16,0,44,32,14,33,41
12,7,11,26,34,36,1,34,31,35,0,14,45,38,28
8,43,33,19,32,14,35,40,33,30,25,0,48,29,5
26,28,28,17,40,37,1,10,27,30,15,11,0,33,45
1,14,2,47,47,10,5,42,1,14,7,11,41,0,33
15,26,23,3,50,49,11,1,18,33,41,11,19,45,0
