0,40,42,8,24,34,5,17,24,32,7,41,1,21,17,18,46
10,0,42,24,22,33,29,42,5,18,8,45,35,47,5,32,29
15,6,0,42,14,44,18,47,34,48,46,6,15,32,27,34,18
35,37,19,0,27,20,36,46,29,42,3,11,30,34,12,16,50
18,1,45,38,0,12,32,39,49,44,31,36,39,1,42,29,5
4,13,39,38,14,0,19,9,32,8,26,36,34,49,49,42,14
4,7,28,28,32,3,0,30,4,37,28,16,12,15,1,40,22
17,23,44,48,22,44,29,0,46,13,12,42,5,37,2,33,20
27,15,33,46,10,44,36,46,0,7,17,21,16,23,34,34,43
36,10,50,24,48,34,47,49,35,0,41,21,49,25,17,13,46
13,22,44,44,11,29,50,49,39,16,0,22,8,23,48,37,28
38,12,22,35,33,10,21,42,13,45,39,0,15,45,35,13,44
24,11,22,12,44,39,45,26,47,5,37,21,0,34,20,12,4
31,33,21,45,29,43,3,14,37,19,21,40,21,0,5,20,49
48,4,37,29,41,46,13,44,8,44,32,5,22,28,0,5,38
35,21,6,29,23,9,49,13,40,8,42,45,29,32,22,0,6
12,38,21,44,24,9,36,39,16,20,40,17,31,9,20,19,0
