0,36,48,31,37,27,26,5,36,39,33,26,42,1
36,0,18,39,34,41,33,11,38,39,45,24,35,16
48,18,0,22,15,46,16,31,23,42,29,4,4,17
31,39,22,0,4,25,11,15,33,10,33,46,18,14
37,34,15,4,0,12,17,45,44,34,39,28,26,3
27,41,46,25,12,0,13,48,49,37,3,25,40,20
26,33,16,11,17,13,0,29,29,7,37,17,41,50
5,11,31,15,45,48,29,0,37,6,37,50,9,46
36,38,23,33,44,49,29,37,0,18,41,45,31,21
39,39,42,10,34,37,7,6,18,0,44,30,29,1
33,45,29,33,39,3,37,37,41,44,0,36,39,35
26,24,4,46,28,25,17,50,45,30,36,0,29,21
42,35,4,18,26,40,41,9,31,29,39,29,0,32
1,16,17,14,3,20,50,46,21,1,35,21,32,0
