0,40,4,18,7,24,41,11,13,13,15,27,33,16,30,29
40,0,33,37,9,26,22,10,29,34,8,3,15,27,23,20
4,33,0,48,11,34,1,29,22,9,33,25,10,34,44,25
18,37,48,0,13,42,26,16,8,13,43,30,21,23,15,1
7,9,11,13,0,47,21,37,45,7,17,46,37,42,20,50
24,26,34,42,47,0,49,9,23,40,2,20,23,2,9,30
41,22,1,26,21,49,0,29,39,12,43,1,15,48,42,15
11,10,29,16,37,9,29,0,24,49,3,12,14,45,5,18
13,29,22,8,45,23,39,24,0,23,37,42,19,42,50,49
13,34,9,13,7,40,12,49,23,0,20,37,3,47,22,45
15,8,33,43,17,2,43,3,37,20,0,6,14,8,39,38
27,3,25,30,46,20,1,12,42,37,6,0,34,34,33,13
33,15,10,21,37,23,15,14,19,3,14,34,0,26,20,28
16,27,34,23,42,2,48,45,42,47,8,34,26,0,2,13
30,23,44,15,20,9,42,5,50,22,39,33,20,2,0,49
29,20,25,1,50,30,15,18,49,45,38,13,28,13,49,0
