0,25,11,50,46,33,1,41,7,44,23,4,33,12,13,21,24
25,0,35,20,8,30,17,25,39,17,14,10,40,33,31,36,8
11,35,0,11,18,41,49,20,11,33,15,1,35,3,24,22,19
50,20,11,0,4,28,37,24,5,45,5,18,10,39,33,29,42
46,8,18,4,0,31,24,42,15,33,40,41,13,18,19,7,16
33,30,41,28,31,0,6,30,40,26,38,33,34,2,21,43,46
1,17,49,37,24,6,0,26,44,50,47,39,5,16,30,9,5
41,25,20,24,42,30,26,0,18,13,20,41,24,49,46,32,42
7,39,11,5,15,40,44,18,0,19,50,43,10,39,2,37,49
44,17,33,45,33,26,50,13,19,0,23,32,2,43,15,12,21
23,14,15,5,40,38,47,20,50,23,0,37,29,24,29,4,16
4,10,1,18,41,33,39,41,43,32,37,0,26,25,4,2,15
33,40,35,10,13,34,5,24,10,2,29,26,0,23,21,5,27
12,33,3,39,18,2,16,49,39,43,24,25,23,0,42,20,37
13,31,24,33,19,21,30,46,2,15,29,4,21,42,0,1,35
21,36,22,29,7,43,9,32,37,12,4,2,5,20,1,0,31
24,8,19,42,16,46,5,42,49,21,16,15,27,37,35,31,0
