0,2,44,16,3,5,11,26,16,31,19,26,44,42,5,29,13,28
2,0,44,46,36,47,43,50,15,14,46,48,38,33,49,3,21,37
44,44,0,21,17,7,31,34,25,25,10,10,27,16,18,6,27,14
16,46,21,0,11,17,34,13,49,19,13,25,43,16,20,20,13,28
3,36,17,11,0,20,14,48,47,50,33,26,25,36,14,38,5,19
5,47,7,17,20,0,16,40,46,46,44,8,34,31,19,6,15,14
11,43,31,34,14,16,0,25,14,18,27,30,6,2,17,50,44,13
26,50,34,13,48,40,25,0,10,39,31,29,42,39,36,1,10,37
16,15,25,49,47,46,14,10,0,7,18,45,2,3,7,11,16,12
31,14,25,19,50,46,18,39,7,0,10,21,35,30,7,22,15,46
19,46,10,13,33,44,27,31,18,10,0,31,5,26,22,14,6,41
26,48,10,25,26,8,30,29,45,21,31,0,43,28,15,32,4,49
44,38,27,43,25,34,6,42,2,35,5,43,0,40,8,5,12,13
42,33,16,16,36,31,2,39,3,30,26,28,40,0,38,39,32,37
5,49,18,20,14,19,17,36,7,7,22,15,8,38,0,27,42,24
29,3,6,20,38,6,50,1,11,22,14,32,5,39,27,0,31,22
13,21,27,13,5,15,44,10,16,15,6,4,12,32,42,31,0,25
28,37,14,28,19,14,13,37,12,46,41,49,13,37,24,22,25,0
