0,30,10,20,11,50,30,25,35,3,2,6,6,9,17,45,9
30,0,45,8,16,17,1,23,5,44,2,43,21,32,44,5,37
10,45,0,22,44,23,6,15,40,2,9,21,48,47,23,46,4
20,8,22,0,1,21,48,2,6,13,28,26,33,26,33,2,31
11,16,44,1,0,22,41,37,38,30,33,45,14,10,15,31,33
50,17,23,21,22,0,23,37,34,46,42,36,32,18,10,16,30
30,1,6,48,41,23,0,7,41,19,11,38,42,41,21,13,18
25,23,15,2,37,37,7,0,19,27,46,15,47,44,31,32,4
35,5,40,6,38,34,41,19,0,20,10,23,43,37,29,22,28
3,44,2,13,30,46,19,27,20,0,38,29,50,22,17,47,34
2,2,9,28,33,42,11,46,10,38,0,3,18,1,2,47,19
6,43,21,26,45,36,38,15,23,29,3,0,6,37,12,17,11
6,21,48,33,14,32,42,47,43,50,18,6,0,24,28,45,4
9,32,47,26,10,18,41,44,37,22,1,37,24,0,25,39,23
17,44,23,33,15,10,21,31,29,17,2,12,28,25,0,13,17
45,5,46,2,31,16,13,32,22,47,47,17,45,39,13,0,21
9,37,4,31,33,30,18,4,28,34,19,11,4,23,17,21,0
