0,1,4,10,50,35,22,7,39,27,7,38,37,19,12,5,31
21,0,4,30,16,22,26,11,44,3,5,30,20,17,26,8,28
10,50,0,38,9,2,5,23,24,14,12,44,11,11,48,25,1
46,33,36,0,8,20,12,30,24,19,22,45,18,45,22,13,23
21,6,32,2,0,50,27,10,33,37,39,17,10,32,33,18,46
6,21,36,9,4,0,43,9,34,12,26,26,12,6,1,45,36
17,2,7,13,22,43,0,6,24,4,21,39,4,14,22,26,33
49,47,27,4,23,45,21,0,36,26,47,34,31,17,36,25,39
6,37,41,35,32,44,5,40,0,6,32,12,8,50,9,4,41
36,28,5,42,7,13,43,33,34,0,8,29,22,49,11,28,12
21,47,20,43,39,44,50,48,47,25,0,42,46,26,32,41,14
33,7,5,40,31,3,35,45,24,32,48,0,45,36,25,17,17
10,37,11,4,4,13,35,26,24,44,13,6,0,40,7,6,39
49,17,37,15,23,37,25,50,22,50,12,45,7,0,38,7,21
46,17,15,17,29,18,26,35,35,45,14,24,31,44,0,8,33
9,7,9,49,14,24,33,40,16,38,39,33,30,6,49,0,48
5,1,32,20,45,20,30,23,38,27,35,39,10,45,3,47,0
