0,7,13,14,7,25,14,16,21,37,20,41,41,43,44
7,0,6,24,1,17,15,42,38,29,8,42,9,4,10
13,6,0,30,11,11,47,29,42,31,47,40,43,47,11
14,24,30,0,27,13,28,8,22,42,20,45,13,11,46
7,1,11,27,0,42,24,2,18,35,6,2,18,9,18
25,17,11,13,42,0,29,32,24,29,37,10,16,2,35
14,15,47,28,24,29,0,24,27,43,26,5,20,50,28
16,42,29,8,2,32,24,0,11,2,41,28,21,14,27
21,38,42,22,18,24,27,11,0,11,30,38,42,15,44
37,29,31,42,35,29,43,2,11,0,32,27,35,37,18
20,8,47,20,6,37,26,41,30,32,0,6,10,47,22
41,42,40,45,2,10,5,28,38,27,6,0,33,26,12
41,9,43,13,18,16,20,21,42,35,10,33,0,47,29
43,4,47,11,9,2,50,14,15,37,47,26,47,0,9
44,10,11,46,18,35,28,27,44,18,22,12,29,9,0
