0,31,8,15,17,43,34,45,31,9,4,36,21,14
31,0,14,13,49,47,1,5,12,34,28,34,37,45
8,14,0,50,46,11,5,42,30,14,47,40,49,22
15,13,50,0,17,22,20,11,19,11,31,42,28,35
17,49,46,17,0,34,25,19,16,39,36,31,32,46
43,47,11,22,34,0,25,22,1,12,18,13,23,16
34,1,5,20,25,25,0,11,11,41,6,1,47,42
45,5,42,11,19,22,11,0,6,27,26,26,47,41
31,12,30,19,16,1,11,6,0,34,32,16,25,5
9,34,14,11,39,12,41,27,34,0,19,5,32,40
4,28,47,31,36,18,6,26,32,19,0,36,14,19
36,34,40,42,31,13,1,26,16,5,36,0,48,10
21,37,49,28,32,23,47,47,25,32,14,48,0,18
14,45,22,35,46,16,42,41,5,40,19,10,18,0
