0,43,43,43,43,3,7,32,8,39,25,43,44,18,19
43,0,20,22,31,5,38,24,10,3,49,4,49,42,42
43,20,0,1,22,41,41,26,40,38,41,50,47,28,3
43,22,1,0,13,31,34,22,11,44,1,25,27,19,21
43,31,22,13,0,22,16,20,15,28,18,10,36,16,49
3,5,41,31,22,0,21,42,19,43,29,28,47,30,15
7,38,41,34,16,21,0,13,31,46,31,49,47,29,4
32,24,26,22,20,42,13,0,25,9,42,9,40,40,5
8,10,40,11,15,19,31,25,0,49,12,12,5,20,5
39,3,38,44,28,43,46,9,49,0,48,11,39,18,41
25,49,41,1,18,29,31,42,12,48,0,33,24,42,26
43,4,50,25,10,28,49,9,12,11,33,0,18,49,24
44,49,47,27,36,47,47,40,5,39,24,18,0,3,39
18,42,28,19,16,30,29,40,20,18,42,49,3,0,4
19,42,3,21,49,15,4,5,5,41,26,24,39,4,0
