0,37,39,49,25,43,44,6,46,36,7,47,46,3,13,15,48,4,16
37,0,42,32,32,19,9,45,47,6,44,45,24,16,25,2,7,9,43
39,42,0,11,40,4,12,48,5,41,14,20,2,34,34,28,7,14,49
49,32,11,0,6,32,25,25,5,44,23,3,28,46,32,30,8,24,39
25,32,40,6,0,35,25,15,12,38,4,5,50,40,8,8,6,46,9
43,19,4,32,35,0,47,14,11,22,48,12,3,45,50,48,45,13,14
44,9,12,25,25,47,0,32,26,32,30,22,8,9,40,33,18,21,5
6,45,48,25,15,14,32,0,10,7,30,49,11,11,4,11,48,32,1
46,47,5,5,12,11,26,10,0,13,13,39,24,23,14,3,23,5,23
36,6,41,44,38,22,32,7,13,0,14,25,39,25,40,13,23,10,5
7,44,14,23,4,48,30,30,13,14,0,18,40,9,40,20,22,3,21
47,45,20,3,5,12,22,49,39,25,18,0,38,8,41,10,43,15,42
46,24,2,28,50,3,8,11,24,39,40,38,0,3,2,5,20,3,28
3,16,34,46,40,45,9,11,23,25,9,8,3,0,41,3,28,38,27
13,25,34,32,8,50,40,4,14,40,40,41,2,41,0,22,20,35,13
15,2,28,30,8,48,33,11,3,13,20,10,5,3,22,0,50,22,27
48,7,7,8,6,45,18,48,23,23,22,43,20,28,20,50,0,17,31
4,9,14,24,46,13,21,32,5,10,3,15,3,38,35,22,17,0,36
16,43,49,39,9,14,5,1,23,5,21,42,28,27,13,27,31,36,0
