0,35,50,47,7,13,38,4,27,17,30,2,25,48
35,0,36,14,27,32,37,37,7,2,4,26,4,22
50,36,0,4,26,41,42,12,20,44,3,21,6,11
47,14,4,0,36,15,3,46,4,3,30,10,25,41
7,27,26,36,0,46,3,49,23,25,33,17,21,26
13,32,41,15,46,0,6,20,33,9,13,49,27,40
38,37,42,3,3,6,0,50,39,9,18,21,26,17
4,37,12,46,49,20,50,0,9,9,26,32,31,48
27,7,20,4,23,33,39,9,0,9,41,29,6,21
17,2,44,3,25,9,9,9,9,0,25,1,47,40
30,4,3,30,33,13,18,26,41,25,0,49,22,29
2,26,21,10,17,49,21,32,29,1,49,0,20,27
25,4,6,25,21,27,26,31,6,47,22,20,0,47
48,22,11,41,26,40,17,48,21,40,29,27,47,0
