0,9,44,27,4,13,39,39,6,12,8,44,22,43,37,26
39,0,38,16,45,34,16,8,16,10,39,49,32,2,44,12
46,49,0,43,7,30,45,43,10,40,3,29,29,11,36,39
36,32,47,0,32,23,41,38,25,38,35,37,45,44,49,14
42,12,25,42,0,14,50,11,7,27,10,21,35,30,31,47
24,10,48,10,9,0,24,22,11,24,14,43,39,7,23,4
49,41,8,25,43,1,0,23,2,27,21,3,3,9,32,4
12,33,39,24,41,50,46,0,6,6,22,16,11,15,32,45
23,14,49,35,25,14,47,30,0,1,2,7,46,35,28,27
19,18,25,47,1,5,43,28,40,0,48,12,14,2,34,15
40,38,2,6,26,30,1,10,12,15,0,20,5,33,22,34
28,22,22,9,24,6,38,10,4,17,33,0,36,22,20,48
1,35,33,8,46,33,39,37,4,15,43,28,0,32,22,22
41,31,36,40,18,24,26,27,19,29,27,6,41,0,23,39
18,36,40,11,47,45,50,14,11,46,33,5,35,4,0,11
20,33,12,41,50,12,49,28,46,31,47,10,7,14,43,0
