0,20,32,21,33,35,40,40,35,38,10,49,27,34,3,2,37,44
20,0,40,26,10,37,7,14,19,14,25,4,27,27,36,40,19,28
32,40,0,19,42,34,49,25,48,5,43,45,25,29,2,41,8,4
21,26,19,0,45,8,13,16,20,40,8,20,9,39,2,24,20,45
33,10,42,45,0,14,15,12,41,17,13,49,5,50,6,19,24,13
35,37,34,8,14,0,38,20,46,39,5,47,13,30,12,28,3,43
40,7,49,13,15,38,0,21,28,50,46,31,11,29,42,9,40,22
40,14,25,16,12,20,21,0,43,5,26,32,43,42,37,45,28,11
35,19,48,20,41,46,28,43,0,43,46,42,25,32,35,24,20,7
38,14,5,40,17,39,50,5,43,0,25,43,46,35,10,8,34,40
10,25,43,8,13,5,46,26,46,25,0,18,21,18,20,22,3,4
49,4,45,20,49,47,31,32,42,43,18,0,23,25,50,22,15,2
27,27,25,9,5,13,11,43,25,46,21,23,0,40,49,20,10,50
34,27,29,39,50,30,29,42,32,35,18,25,40,0,41,8,12,10
3,36,2,2,6,12,42,37,35,10,20,50,49,41,0,33,37,39
2,40,41,24,19,28,9,45,24,8,22,22,20,8,33,0,44,24
37,19,8,20,24,3,40,28,20,34,3,15,10,12,37,44,0,11
44,28,4,45,13,43,22,11,7,40,4,2,50,10,39,24,11,0
